ruta,bytes_antes,bytes_despues,medidas_antes,medidas_despues
img/nutri/microbiotaRecursos/miso.webp,493676,21354,5197x3898,900x675
libros/img/microbiota.webp,349784,145866,1024x1024,900x900
recorrido/cabala/sefirot/bina.webp,688028,131328,1254x1254,900x900
recorrido/cabala/sefirot/daat.webp,690082,136354,1254x1254,900x900
recorrido/cabala/sefirot/guevura.webp,675868,110770,1254x1254,900x900
recorrido/cabala/sefirot/hod.webp,558008,156422,1122x1122,900x900
recorrido/cabala/sefirot/jesed.webp,518482,135834,1122x1122,900x900
recorrido/cabala/sefirot/jojma.webp,655682,132128,1254x1254,900x900
recorrido/cabala/sefirot/keter.webp,229084,49104,988x988,900x900
recorrido/cabala/sefirot/netsaj.webp,530732,144620,1122x1122,900x900
recorrido/cabala/sefirot/tiferet.webp,740512,170904,1254x1254,900x900
recorrido/cabala/sefirot/yesod.webp,685744,141066,1254x1254,900x900
recorrido/cabala/sefirotfondo.webp,211698,104056,1000x1000,900x900
recorrido/cabala/senderos/aleph.webp,562756,138416,1122x1122,900x900
recorrido/cabala/senderos/ayin.webp,714852,146560,1254x1254,900x900
recorrido/cabala/senderos/beth.webp,419244,104414,1043x1043,900x900
recorrido/cabala/senderos/chet.webp,670884,126826,1254x1254,900x900
recorrido/cabala/senderos/daleth.webp,718564,149156,1254x1254,900x900
recorrido/cabala/senderos/gimel.webp,675440,129748,1254x1254,900x900
recorrido/cabala/senderos/he.webp,665950,131526,1254x1254,900x900
recorrido/cabala/senderos/kaf.webp,669602,136946,1254x1254,900x900
recorrido/cabala/senderos/lamed.webp,718518,153784,1254x1254,900x900
recorrido/cabala/senderos/mem.webp,716374,164180,1254x1254,900x900
recorrido/cabala/senderos/nun.webp,688508,153362,1254x1254,900x900
recorrido/cabala/senderos/pe.webp,721936,163098,1254x1254,900x900
recorrido/cabala/senderos/qof.webp,574064,153560,1122x1122,900x900
recorrido/cabala/senderos/resh.webp,538512,139272,1122x1122,900x900
recorrido/cabala/senderos/samekh.webp,372018,101088,1122x1122,900x900
recorrido/cabala/senderos/shin.webp,485488,133980,1122x1122,900x900
recorrido/cabala/senderos/tav.webp,404944,110082,1122x1122,900x900
recorrido/cabala/senderos/tet.webp,459842,110962,1254x1254,900x900
