png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/nutricion/alimentos/almendras.png,/recorrido/nutricion/alimentos/almendras.webp,2800,164,1254x1254
/recorrido/nutricion/alimentos/anacardo.png,/recorrido/nutricion/alimentos/anacardo.webp,2768,168,1254x1254
/recorrido/nutricion/alimentos/avena.png,/recorrido/nutricion/alimentos/avena.webp,2820,181,1254x1254
/recorrido/nutricion/alimentos/batata.png,/recorrido/nutricion/alimentos/batata.webp,2592,137,1254x1254
/recorrido/nutricion/alimentos/cervezavino.png,/recorrido/nutricion/alimentos/cervezavino.webp,3013,217,1254x1254
/recorrido/nutricion/alimentos/cola.png,/recorrido/nutricion/alimentos/cola.webp,2908,209,1254x1254
/recorrido/nutricion/alimentos/gambas.png,/recorrido/nutricion/alimentos/gambas.webp,2650,146,1254x1254
/recorrido/nutricion/alimentos/lentejas.png,/recorrido/nutricion/alimentos/lentejas.webp,2832,170,1254x1254
/recorrido/nutricion/alimentos/nutella.png,/recorrido/nutricion/alimentos/nutella.webp,2763,149,1254x1254
/recorrido/nutricion/alimentos/oreo.png,/recorrido/nutricion/alimentos/oreo.webp,2932,183,1254x1254
/recorrido/nutricion/alimentos/quesofresco.png,/recorrido/nutricion/alimentos/quesofresco.webp,2530,106,1254x1254
/recorrido/nutricion/alimentos/salmon.png,/recorrido/nutricion/alimentos/salmon.webp,2738,163,1254x1254
/recorrido/nutricion/alimentos/tofuseitan.png,/recorrido/nutricion/alimentos/tofuseitan.webp,2769,154,1254x1254
/recorrido/nutricion/alimentos/yogurgriego.png,/recorrido/nutricion/alimentos/yogurgriego.webp,2668,133,1254x1254
